24,abril,135
24,maio,123
24,junho,120
24,julho,141
24,agosto,160
24,setembro,175
24,outubro,186
24,novembro,195
24,dezembro,199
25,janeiro,197
25,fevereiro,151
25,março,147
25,abril,135
25,maio,123
25,junho,120
25,julho,141
25,agosto,160
25,setembro,175
25,outubro,186
25,novembro,195
25,dezembro,199
26,janeiro,204
26,fevereiro,160
26,março,146
26,abril,127
26,maio,128
26,junho,130
26,julho,152
26,agosto,170
26,setembro,185
26,outubro,206
26,novembro,203
26,dezembro,209
27,janeiro,162
27,fevereiro,118
27,março,115
27,abril,106
27,maio,107
27,junho,108
27,julho,120
27,agosto,151
27,setembro,173
27,outubro,195
27,novembro,192
27,dezembro,190
28,janeiro,204
28,fevereiro,160
28,março,146
28,abril,127
28,maio,128
28,junho,130
28,julho,152
28,agosto,170
28,setembro,185
28,outubro,206
28,novembro,203
28,dezembro,209
30,janeiro,189
30,fevereiro,150
30,março,135
30,abril,126
30,maio,120
30,junho,117
30,julho,142
30,agosto,172
30,setembro,183
30,outubro,201
30,novembro,196
30,dezembro,202
31,janeiro,192.977181645318
31,fevereiro,148.165732538973
31,março,130
31,abril,118
31,maio,121.354283432628
31,junho,130.937149702115
31,julho,149.417133730513
31,agosto,172.417133730513
31,setembro,185.417133730513
31,outubro,202.645716567372
31,novembro,198.165732538973
31,dezembro,199.102882241088
32,janeiro,204
32,fevereiro,160
32,março,146
32,abril,127
32,maio,128
32,junho,130
32,julho,152
32,agosto,170
32,setembro,185
32,outubro,206
32,novembro,203
32,dezembro,209
33,janeiro,197
33,fevereiro,151
33,março,147
33,abril,135
33,maio,123
33,junho,120
33,julho,141
33,agosto,160
33,setembro,175
33,outubro,186
33,novembro,195
33,dezembro,199
34,janeiro,197
34,fevereiro,151
34,março,147
34,abril,135
34,maio,123
34,junho,120
34,julho,141
34,agosto,160
34,setembro,175
34,outubro,186
34,novembro,195
34,dezembro,199
36,janeiro,186
36,fevereiro,138
36,março,134
36,abril,115
36,maio,123
36,junho,121
36,julho,143
36,agosto,160
36,setembro,178
36,outubro,194
36,novembro,193
36,dezembro,199
39,janeiro,206
39,fevereiro,177
39,março,169
39,abril,142
39,maio,136
39,junho,137
39,julho,158
39,agosto,175
39,setembro,187
39,outubro,203
39,novembro,198
39,dezembro,205
40,janeiro,95
40,fevereiro,74
40,março,73
40,abril,60
40,maio,59
40,junho,58
40,julho,74
40,agosto,88
40,setembro,98
40,outubro,104
40,novembro,100
40,dezembro,98
43,janeiro,95
43,fevereiro,74
43,março,73
43,abril,60
43,maio,59
43,junho,58
43,julho,74
43,agosto,88
43,setembro,98
43,outubro,104
43,novembro,100
43,dezembro,98
45,janeiro,95
45,fevereiro,74
45,março,73
45,abril,60
45,maio,59
45,junho,58
45,julho,74
45,agosto,88
45,setembro,98
45,outubro,104
45,novembro,100
45,dezembro,98
47,janeiro,186
47,fevereiro,138
47,março,134
47,abril,115
47,maio,123
47,junho,121
47,julho,143
47,agosto,160
47,setembro,178
47,outubro,194
47,novembro,193
47,dezembro,199
49,janeiro,182
49,fevereiro,143
49,março,130
49,abril,118
49,maio,122
49,junho,129
49,julho,152
49,agosto,175
49,setembro,188
49,outubro,202
49,novembro,193
49,dezembro,192
50,janeiro,182
50,fevereiro,143
50,março,130
50,abril,118
50,maio,122
50,junho,129
50,julho,152
50,agosto,175
50,setembro,188
50,outubro,202
50,novembro,193
50,dezembro,192
51,janeiro,182
51,fevereiro,143
51,março,130
51,abril,118
51,maio,122
51,junho,129
51,julho,152
51,agosto,175
51,setembro,188
51,outubro,202
51,novembro,193
51,dezembro,192
52,janeiro,197.098508678606
52,fevereiro,151
52,março,146.162676231853
52,abril,134.162676231853
52,maio,122.901491321394
52,junho,120.591052071633
52,julho,141.34478037512
52,agosto,160.541797732331
52,setembro,175.443289053725
52,outubro,186.837323768147
52,novembro,195.295526035817
52,dezembro,199.197017357211
53,janeiro,197.836167601933
53,fevereiro,151
53,março,139.892575383573
53,abril,127.892575383573
53,maio,122.163832398067
53,junho,125.017005611596
53,julho,143.926586606764
53,agosto,164.598921810629
53,setembro,178.762754208697
53,outubro,193.107424616427
53,novembro,197.508502805798
53,dezembro,200.672335203865
54,janeiro,199
54,fevereiro,151
54,março,130
54,abril,118
54,maio,121
54,junho,132
54,julho,148
54,agosto,171
54,setembro,184
54,outubro,203
54,novembro,201
54,dezembro,203
55,janeiro,182
55,fevereiro,143
55,março,130
55,abril,118
55,maio,122
55,junho,129
55,julho,152
55,agosto,175
55,setembro,188
55,outubro,202
55,novembro,193
55,dezembro,192
56,janeiro,182
56,fevereiro,143
56,março,130
56,abril,118
56,maio,122
56,junho,129
56,julho,152
56,agosto,175
56,setembro,188
56,outubro,202
56,novembro,193
56,dezembro,192
58,janeiro,182
58,fevereiro,143
58,março,130
58,abril,118
58,maio,122
58,junho,129
58,julho,152
58,agosto,175
58,setembro,188
58,outubro,202
58,novembro,193
58,dezembro,192
59,janeiro,199
59,fevereiro,151
59,março,130
59,abril,118
59,maio,121
59,junho,132
59,julho,148
59,agosto,171
59,setembro,184
59,outubro,203
59,novembro,201
59,dezembro,203
60,janeiro,182
60,fevereiro,143
60,março,130
60,abril,118
60,maio,122
60,junho,129
60,julho,152
60,agosto,175
60,setembro,188
60,outubro,202
60,novembro,193
60,dezembro,192
61,janeiro,166.288658928821
61,fevereiro,130.53928121941
61,março,119.706362746469
61,abril,107.525772619214
61,maio,110.622821982939
61,junho,116.1781009649
61,julho,137.913970074116
61,agosto,159.288658928821
61,setembro,171.746888547056
61,outubro,184.302167529017
61,novembro,176.205118165292
61,dezembro,175.024528038037
62,janeiro,182
62,fevereiro,143
62,março,130
62,abril,118
62,maio,122
62,junho,129
62,julho,152
62,agosto,175
62,setembro,188
62,outubro,202
62,novembro,193
62,dezembro,192
63,janeiro,204
63,fevereiro,160
63,março,146
63,abril,127
63,maio,128
63,junho,130
63,julho,152
63,agosto,170
63,setembro,185
63,outubro,206
63,novembro,203
63,dezembro,209
64,janeiro,182
64,fevereiro,143
64,março,130
64,abril,118
64,maio,122
64,junho,129
64,julho,152
64,agosto,175
64,setembro,188
64,outubro,202
64,novembro,193
64,dezembro,192
65,janeiro,199
65,fevereiro,151
65,março,130
65,abril,118
65,maio,121
65,junho,132
65,julho,148
65,agosto,171
65,setembro,184
65,outubro,203
65,novembro,201
65,dezembro,203
66,janeiro,199
66,fevereiro,151
66,março,130
66,abril,118
66,maio,121
66,junho,132
66,julho,148
66,agosto,171
66,setembro,184
66,outubro,203
66,novembro,201
66,dezembro,203
67,janeiro,189.001344415535
67,fevereiro,150.016132986421
67,março,135.041676881589
67,abril,126.029577141773
67,maio,120.024199479632
67,junho,117.017477401957
67,julho,142.001344415535
67,agosto,171.986555844649
67,setembro,182.991933506789
67,outubro,200.991933506789
67,novembro,195.990589091254
67,dezembro,201.986555844649
68,janeiro,204
68,fevereiro,160
68,março,146
68,abril,127
68,maio,128
68,junho,130
68,julho,152
68,agosto,170
68,setembro,185
68,outubro,206
68,novembro,203
68,dezembro,209
69,janeiro,182
69,fevereiro,143
69,março,130
69,abril,118
69,maio,122
69,junho,129
69,julho,152
69,agosto,175
69,setembro,188
69,outubro,202
69,novembro,193
69,dezembro,192
70,janeiro,182
70,fevereiro,143
70,março,130
70,abril,118
70,maio,122
70,junho,129
70,julho,152
70,agosto,175
70,setembro,188
70,outubro,202
70,novembro,193
